query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	database
WP_156033027.1	AF-A0A2M9TIH7-F1-model_v6	0.527	459	216	0	22	479	27	485	2.985e-37	1661	uniprot
WP_157691822.1	AF-A0A1E5SIS1-F1-model_v6	0.537	374	172	0	1	374	1	372	1.604e-31	1660	uniprot
WP_119028820.1	AF-A0A6P0UPZ0-F1-model_v6	0.605	304	118	0	5	305	2	305	1.255e-36	1651	uniprot
WP_101446573.1	AF-A0A504J0J1-F1-model_v6	0.683	300	95	0	1	300	1	300	6.138e-35	1651	uniprot
WP_101449912.1	AF-A0A941HJ75-F1-model_v6	0.586	466	188	0	1	455	1	466	1.575e-33	1650	uniprot
WP_144725006.1	AF-A0A6H9L6G0-F1-model_v6	0.555	315	137	0	1	315	3	311	7.542e-34	1649	uniprot
WP_101447647.1	AF-A0A2N3T5N9-F1-model_v6	1.0	241	0	0	1	241	1	241	2.031e-36	1648	uniprot
WP_091891738.1	AF-A0A1H1LLZ6-F1-model_v6	0.977	349	8	0	1	349	1	349	6.044000000000001e-36	1647	uniprot
WP_144727335.1	AF-A0A7Y3C6T7-F1-model_v6	0.588	309	127	0	2	310	44	352	5.5910000000000006e-36	1647	uniprot
WP_119029899.1	AF-A0A495E9P9-F1-model_v6	0.615	315	120	0	3	315	1	315	4.0789999999999996e-39	1646	uniprot
WP_144725902.1	AF-A0A9E4H0C9-F1-model_v6	0.678	286	91	0	1	286	1	284	3.355e-39	1646	uniprot
WP_119029869.1	AF-V6RYF1-F1-model_v6	0.561	343	148	0	7	345	3	345	6.344e-39	1645	uniprot
WP_148264610.1	AF-A0M2W5-F1-model_v6	1.0	322	0	0	2	323	8	329	2.949e-40	1641	uniprot
WP_011710427.1	AF-A0M4H9-F1-model_v6	1.0	281	0	0	1	281	1	281	6.833e-34	1641	uniprot
WP_101448043.1	AF-A0A2N3T727-F1-model_v6	0.98	261	5	0	1	261	1	261	5.951e-39	1640	uniprot
WP_011709287.1	AF-A0A958Z1K2-F1-model_v6	0.503	402	198	0	4	402	3	404	9.834e-28	1638	uniprot
WP_091892368.1	AF-A0A1H1M987-F1-model_v6	1.0	305	0	0	1	305	1	305	5.52e-31	1638	uniprot
WP_089662781.1	AF-A0A1L7I6L7-F1-model_v6	0.752	339	84	0	67	405	1	339	1.405e-36	1635	uniprot
WP_144725852.1	AF-A0A397LMG0-F1-model_v6	0.933	270	18	0	1	270	1	270	1.537e-34	1635	uniprot
WP_119029194.1	AF-A0A958THY2-F1-model_v6	0.487	322	164	0	1	320	1	322	1.165e-35	1634	uniprot
WP_101448106.1	AF-A0A2N3T743-F1-model_v6	0.918	415	34	0	1	415	1	415	2.088e-39	1633	uniprot
WP_144725908.1	AF-A0A958UX75-F1-model_v6	0.623	313	116	0	1	308	1	313	4.901e-34	1632	uniprot
WP_144963212.1	AF-A0A559PRT5-F1-model_v6	1.0	268	0	0	1	268	1	268	3.486e-34	1629	uniprot
WP_011710161.1	AF-A0A1L7I6L7-F1-model_v6	0.764	339	80	0	67	405	1	339	5.182e-37	1628	uniprot
WP_052108491.1	AF-A0AA49GCB2-F1-model_v6	0.706	265	77	0	2	266	43	306	1.383e-32	1625	uniprot
WP_119027795.1	AF-A0A7L4ZKR3-F1-model_v6	0.723	293	81	0	1	292	1	293	3.619e-39	1624	uniprot
WP_036822163.1	AF-A0A8J2XGH0-F1-model_v6	0.691	396	122	0	1	395	1	396	2.48e-37	1623	uniprot
WP_144726046.1	AF-A0A397LJM7-F1-model_v6	0.988	265	3	0	1	265	1	265	5.808e-40	1622	uniprot
WP_119030582.1	AF-A0A1L3JIM3-F1-model_v6	0.784	265	57	0	2	266	14	277	1.774e-35	1622	uniprot
WP_119028473.1	AF-S7X769-F1-model_v6	0.625	351	128	0	3	353	2	344	1.151e-38	1619	uniprot
WP_144727360.1	AF-A0A848RX68-F1-model_v6	0.584	339	139	0	1	339	1	336	3.980000000000001e-31	1619	uniprot
WP_101448485.1	AF-A0A2N3T8F7-F1-model_v6	0.976	258	6	0	1	258	1	258	2.085e-36	1619	uniprot
WP_144725800.1	AF-A0A6L9EG50-F1-model_v6	0.728	287	78	0	4	290	4	289	2.676e-40	1617	uniprot
WP_144960599.1	AF-A0A559PLC7-F1-model_v6	1.0	272	0	0	1	272	1	272	3.701e-36	1616	uniprot
WP_119029493.1	AF-A0A9D9UF33-F1-model_v6	0.425	307	174	0	4	310	1	304	8.971e-34	1615	uniprot
WP_011710602.1	AF-A0M504-F1-model_v6	1.0	301	0	0	1	301	1	301	4.648e-35	1615	uniprot
WP_101448152.1	AF-A0A2N3T787-F1-model_v6	1.0	276	0	0	1	276	1	276	7.203e-33	1615	uniprot
WP_148304597.1	AF-A0AAJ1QYC7-F1-model_v6	0.67	458	150	0	22	478	23	480	1.6230000000000002e-31	1611	uniprot
WP_119029610.1	AF-A0A1M5MM93-F1-model_v6	0.694	308	93	0	3	308	57	364	1.768e-35	1611	uniprot
WP_041249964.1	AF-A0A285X6T1-F1-model_v6	0.632	283	103	0	1	283	1	282	5.049e-32	1611	uniprot
WP_157691910.1	AF-A0A2S7WPI6-F1-model_v6	0.546	467	210	0	3	465	5	471	6.1460000000000005e-34	1609	uniprot
WP_101449624.1	AF-A0A2N3TBY3-F1-model_v6	0.981	264	5	0	1	264	1	264	7.887e-32	1605	uniprot
WP_144725876.1	AF-A0A397LKE5-F1-model_v6	0.984	254	4	0	3	256	17	270	5.533e-39	1602	uniprot
WP_101448633.1	AF-A0A4V2HSS0-F1-model_v6	0.496	398	199	0	1	398	1	396	1.896e-37	1601	uniprot
WP_089663194.1	AF-A0A9X1V6G0-F1-model_v6	0.707	277	80	0	51	323	1	277	8.529e-39	1598	uniprot
WP_144725059.1	AF-A0A397LDL0-F1-model_v6	0.987	233	3	0	1	233	1	233	7.152999999999999e-41	1598	uniprot
WP_036820615.1	AF-A0A5C7GKQ2-F1-model_v6	0.536	406	187	0	4	406	2	407	2.8770000000000003e-34	1597	uniprot
WP_144727276.1	AF-A0A1H9DEC3-F1-model_v6	0.598	298	119	0	1	298	1	298	2.0650000000000003e-36	1595	uniprot
WP_101448461.1	AF-A0A554VF31-F1-model_v6	0.798	298	60	0	15	312	15	310	8.35e-34	1595	uniprot
WP_144727252.1	AF-A0A4R8EHU7-F1-model_v6	0.692	289	88	0	1	288	1	289	1.658e-39	1595	uniprot
WP_091892251.1	AF-A0A1H1M496-F1-model_v6	1.0	345	0	0	1	345	1	345	1.711e-32	1594	uniprot
WP_036821969.1	AF-A0A099Y3U9-F1-model_v6	1.0	254	0	0	1	254	1	254	2.6880000000000003e-34	1593	uniprot
WP_089661010.1	AF-A0A9X2KZ46-F1-model_v6	0.712	320	92	0	30	349	3	322	1.764e-27	1592	uniprot
WP_038529916.1	AF-G2EEG8-F1-model_v6	0.823	284	49	0	1	279	1	284	2.3409999999999998e-39	1589	uniprot
WP_242404024.1	AF-T2KPN9-F1-model_v6	1.0	269	0	0	1	269	1	269	2.9920000000000002e-28	1589	uniprot
WP_119029748.1	AF-A0A024FD78-F1-model_v6	0.58	350	146	0	1	350	1	349	3.5829999999999997e-37	1588	uniprot
WP_144725040.1	AF-A0A966RUG9-F1-model_v6	0.548	297	134	0	5	301	1	297	2.639e-35	1588	uniprot
WP_026752879.1	AF-A0A2E2EU55-F1-model_v6	0.575	330	139	0	14	343	1	329	2.698e-33	1584	uniprot
WP_038531281.1	AF-T2KQM1-F1-model_v6	1.0	273	0	0	1	273	1	273	1.428e-37	1584	uniprot
WP_144726648.1	AF-A0A8J2TKH6-F1-model_v6	0.61	366	142	0	2	367	4	369	4.024e-27	1583	uniprot
WP_141675503.1	AF-T2KR22-F1-model_v6	0.962	236	9	0	1	236	1	236	4.247e-32	1583	uniprot
WP_144958923.1	AF-A0A495PZT2-F1-model_v6	0.842	254	40	0	1	254	1	254	3.386e-38	1582	uniprot
WP_101446863.1	AF-A0A2T4DSX8-F1-model_v6	0.536	365	168	0	21	385	1	364	7.499e-32	1581	uniprot
WP_144727027.1	AF-A0A964A205-F1-model_v6	0.463	291	155	0	1	291	1	289	1.078e-31	1581	uniprot
WP_101448479.1	AF-A0A2N3T8B3-F1-model_v6	1.0	249	0	0	1	249	1	249	1.612e-34	1579	uniprot
WP_144962670.1	AF-A0A5C6ZPT0-F1-model_v6	0.751	338	84	0	1	338	20	357	5.265e-27	1578	uniprot
WP_156033004.1	AF-A0A1M6HP11-F1-model_v6	0.793	332	69	0	1	332	1	332	2.0380000000000002e-32	1578	uniprot
WP_233195759.1	AF-A0A2N3T4J9-F1-model_v6	0.856	299	43	0	1	299	1	299	1.675e-37	1578	uniprot
WP_144963220.1	AF-A0A559PRV5-F1-model_v6	1.0	250	0	0	1	250	1	250	6.981999999999999e-38	1578	uniprot
WP_101446123.1	AF-A0A1M6F6J9-F1-model_v6	0.742	307	79	0	1	307	1	306	3.42e-33	1571	uniprot
WP_036827672.1	AF-A0A099XM11-F1-model_v6	1.0	249	0	0	1	249	7	255	3.768e-37	1571	uniprot
WP_231481269.1	AF-A0A2T1N4W9-F1-model_v6	0.685	276	87	0	3	278	17	292	8.140000000000001e-31	1570	uniprot
WP_026754823.1	AF-A0A4R8MAB0-F1-model_v6	0.504	709	350	0	1	709	1	707	4.0560000000000005e-30	1569	uniprot
WP_144725826.1	AF-A0A316DJF9-F1-model_v6	0.592	302	123	0	14	315	42	343	3.159e-37	1566	uniprot
WP_101446479.1	AF-A0A2N3T3M2-F1-model_v6	0.868	378	50	0	1	378	1	378	8.807999999999999e-39	1564	uniprot
WP_119028834.1	AF-A0A7Y2A6J2-F1-model_v6	0.706	242	71	0	1	242	1	242	3.51e-40	1563	uniprot
WP_119028268.1	AF-A0A1D7XQT0-F1-model_v6	0.734	249	66	0	1	249	1	249	1.068e-37	1561	uniprot
WP_229664739.1	AF-A0A0Q9ZAK4-F1-model_v6	0.646	371	129	0	1	365	34	404	8.568000000000001e-28	1560	uniprot
WP_026754109.1	AF-A0A5C7B5B5-F1-model_v6	0.777	261	58	0	1	261	1	261	5.296e-31	1557	uniprot
WP_144727297.1	AF-A0A4Q9FF58-F1-model_v6	0.63	265	97	0	1	265	3	265	3.331e-31	1556	uniprot
WP_101448372.1	AF-A0A2N3T7Y3-F1-model_v6	1.0	228	0	0	1	228	1	228	1.18e-30	1556	uniprot
WP_101447052.1	AF-E6XA02-F1-model_v6	0.626	343	124	0	1	343	3	335	5.366e-37	1555	uniprot
WP_119029904.1	AF-A0A7W2R3G6-F1-model_v6	0.691	301	90	0	20	320	12	303	4.266e-33	1555	uniprot
WP_101447886.1	AF-A0A918JUB9-F1-model_v6	0.717	269	75	0	1	269	1	267	7.163e-34	1555	uniprot
WP_036821414.1	AF-A0A1H4JGF4-F1-model_v6	0.639	510	179	0	1	510	1	498	8.776e-36	1554	uniprot
WP_144725810.1	AF-A0A397LMK9-F1-model_v6	0.979	296	6	0	1	296	1	296	9.929e-35	1552	uniprot
WP_144727017.1	AF-A0A327RK38-F1-model_v6	0.748	286	72	0	1	286	1	286	2.4450000000000003e-28	1550	uniprot
WP_101445665.1	AF-A0A2N3T2A0-F1-model_v6	0.945	257	14	0	1	257	1	257	1.085e-35	1550	uniprot
WP_119030379.1	AF-A0A841J8U2-F1-model_v6	0.817	225	41	0	1	225	41	265	4.818e-37	1549	uniprot
WP_091896876.1	AF-A0A1H1T440-F1-model_v6	1.0	312	0	0	1	312	1	312	8.389e-35	1547	uniprot
WP_144958736.1	AF-A0A495PW84-F1-model_v6	0.742	342	88	0	1	342	1	342	8.879e-28	1546	uniprot
WP_089661267.1	AF-A0A1H1L991-F1-model_v6	1.0	271	0	0	1	271	1	271	3.701e-35	1545	uniprot
WP_144962799.1	AF-A0A4Q0P3R3-F1-model_v6	0.558	263	115	0	1	263	1	262	5.768000000000001e-31	1544	uniprot
WP_101444800.1	AF-A0A2N3T0L6-F1-model_v6	0.972	288	8	0	1	288	1	288	2.852e-37	1542	uniprot
WP_089660932.1	AF-A0A1H1KU92-F1-model_v6	1.0	245	0	0	1	245	1	245	3.565e-36	1540	uniprot
WP_119029836.1	AF-A0A936ZN78-F1-model_v6	0.572	315	130	0	19	322	12	326	4.0620000000000003e-35	1537	uniprot
WP_101449253.1	AF-A0A355ADB8-F1-model_v6	0.609	305	116	0	20	324	20	317	2.478e-32	1536	uniprot
WP_144726965.1	AF-A0A7K1G8H5-F1-model_v6	0.623	343	129	0	1	343	1	343	1.0380000000000001e-30	1535	uniprot
WP_101449941.1	AF-A0A2N3TCY9-F1-model_v6	1.0	297	0	0	1	297	1	297	1.2180000000000002e-31	1534	uniprot
WP_089663165.1	AF-A0A1H1QNA4-F1-model_v6	1.0	261	0	0	1	261	1	261	1.036e-35	1534	uniprot
WP_144726747.1	AF-A0A958MN02-F1-model_v6	0.718	259	72	0	1	258	1	259	2.245e-30	1534	uniprot
WP_038532827.1	AF-A0A9X0YIW4-F1-model_v6	0.687	362	113	0	1	362	1	362	1.5969999999999999e-37	1532	uniprot
WP_091889946.1	AF-A0A2P6CAK7-F1-model_v6	0.578	323	136	0	1	323	1	323	4.1560000000000005e-31	1532	uniprot
WP_119027605.1	AF-A0A0D7VXX4-F1-model_v6	0.664	270	90	0	1	270	5	274	1.382e-31	1532	uniprot
WP_011710472.1	AF-A0A0N0RQC6-F1-model_v6	0.492	473	233	0	1	460	1	473	8.703999999999999e-33	1531	uniprot
WP_011708749.1	AF-A0A9X2KZ46-F1-model_v6	0.715	320	91	0	30	349	3	322	4.087e-26	1531	uniprot
WP_144726422.1	AF-A0A2N3HPY9-F1-model_v6	0.725	309	83	0	11	312	2	310	6.006e-31	1528	uniprot
WP_051774442.1	AF-T2KH38-F1-model_v6	1.0	305	0	0	1	305	1	305	1.326e-35	1528	uniprot
WP_101446773.1	AF-A0A3N0DP26-F1-model_v6	0.595	282	114	0	1	282	1	282	2.28e-29	1528	uniprot
WP_119029587.1	AF-A0A420DUV5-F1-model_v6	0.708	271	79	0	5	275	3	273	1.7309999999999999e-37	1527	uniprot
WP_119028132.1	AF-A0A7L8AGE8-F1-model_v6	0.718	270	76	0	2	271	3	271	6.3289999999999996e-37	1525	uniprot
WP_036822228.1	AF-A0A099Y5G7-F1-model_v6	1.0	238	0	0	1	238	1	238	5.274e-32	1525	uniprot
WP_011710332.1	AF-A0M484-F1-model_v6	1.0	277	0	0	1	277	1	277	4.0790000000000005e-34	1524	uniprot
WP_101450399.1	AF-A0A941C7S6-F1-model_v6	0.752	299	74	0	1	299	1	299	1.2590000000000001e-26	1520	uniprot
WP_101447989.1	AF-A0A7K1LMT6-F1-model_v6	0.52	294	140	0	7	299	24	317	9.516e-30	1520	uniprot
WP_101449693.1	AF-A0A2K9PNL5-F1-model_v6	0.513	477	229	0	1	477	9	480	5.498e-35	1519	uniprot
WP_011710300.1	AF-A0A4Q0PMS1-F1-model_v6	0.583	336	140	0	1	336	3	338	3.3410000000000004e-32	1519	uniprot
WP_089663380.1	AF-A0A9X1V3A9-F1-model_v6	0.764	280	66	0	14	293	14	293	4.4620000000000005e-31	1519	uniprot
WP_036819663.1	AF-A0A1Y0MWB5-F1-model_v6	0.83	254	43	0	1	253	1	254	1.2419999999999999e-33	1519	uniprot
WP_011708809.1	AF-A0A542AY37-F1-model_v6	0.906	290	27	0	1	290	1	290	4.087e-27	1518	uniprot
WP_144726641.1	AF-A0A2S8FQY8-F1-model_v6	0.656	265	91	0	1	265	1	265	1.2850000000000001e-36	1518	uniprot
WP_119030208.1	AF-A0A958TNN0-F1-model_v6	0.8	294	59	0	1	294	1	294	2.14e-32	1515	uniprot
WP_036820686.1	AF-A0A099Y4H8-F1-model_v6	0.785	308	64	0	1	301	1	308	1.031e-35	1514	uniprot
WP_101446383.1	AF-A0A2N3T3H6-F1-model_v6	1.0	209	0	0	1	209	1	209	2.2879999999999997e-33	1513	uniprot
WP_144963326.1	AF-A0A559PS53-F1-model_v6	1.0	264	0	0	1	264	1	264	6.458999999999999e-47	1512	uniprot
WP_036822343.1	AF-A0A846QZG7-F1-model_v6	0.54	442	202	0	1	440	1	442	1.8590000000000002e-32	1511	uniprot
WP_144963441.1	AF-A0M4H9-F1-model_v6	0.8	281	56	0	1	281	1	281	2.093e-32	1511	uniprot
WP_231481177.1	AF-A0A4R5V0V3-F1-model_v6	0.637	352	123	0	1	352	84	424	8.39e-32	1509	uniprot
WP_026754120.1	AF-A0A2D9Y2E8-F1-model_v6	0.472	341	176	0	1	341	7	340	1.555e-32	1509	uniprot
WP_026752983.1	AF-A0A7J2PV71-F1-model_v6	0.484	325	167	0	24	348	2	325	1.723e-29	1508	uniprot
WP_144725968.1	AF-A0A4R1RDE2-F1-model_v6	0.742	249	64	0	1	249	29	277	1.8430000000000001e-35	1508	uniprot
WP_051774853.1	AF-A0A9W6EUG9-F1-model_v6	0.75	337	83	0	1	334	1	337	3.149e-38	1507	uniprot
WP_101444982.1	AF-A0A1M6D1U0-F1-model_v6	0.644	307	106	0	7	304	8	314	3.862e-33	1507	uniprot
WP_235318237.1	AF-A0A2U2JDL9-F1-model_v6	0.67	279	91	0	23	301	5	281	8.865999999999999e-33	1506	uniprot
WP_144726126.1	AF-A0A1H5SQB6-F1-model_v6	0.69	268	83	0	5	272	28	295	6.212e-32	1500	uniprot
WP_101447813.1	AF-A0A023BTB0-F1-model_v6	0.885	228	26	0	1	228	1	228	1.08e-29	1499	uniprot
WP_011709778.1	AF-A0M2M6-F1-model_v6	1.0	247	0	0	1	247	1	247	4.396e-31	1498	uniprot
WP_036823936.1	AF-A0A9X1VSL2-F1-model_v6	0.961	312	12	0	1	312	1	312	1.755e-35	1496	uniprot
WP_101448566.1	AF-A0A086AKT9-F1-model_v6	0.519	328	151	0	20	347	21	335	4.4429999999999996e-29	1495	uniprot
WP_101448489.1	AF-A0A2G6F4N0-F1-model_v6	0.538	295	135	0	1	295	1	294	6.749e-33	1495	uniprot
WP_101450205.1	AF-A0A3S8R6F6-F1-model_v6	0.742	271	69	0	7	274	8	278	1.0250000000000001e-31	1494	uniprot
WP_026755909.1	AF-S7X0X4-F1-model_v6	0.498	333	164	0	15	342	2	334	4.824e-34	1493	uniprot
WP_026755095.1	AF-A0A4Q0XGZ6-F1-model_v6	0.687	301	94	0	1	301	1	301	2.99e-35	1493	uniprot
WP_091891904.1	AF-A0A1Y2PET0-F1-model_v6	0.552	447	195	0	1	436	1	447	5.0300000000000005e-36	1492	uniprot
WP_089661297.1	AF-A0A1H1LCJ0-F1-model_v6	0.976	259	6	0	1	259	1	259	1.327e-29	1492	uniprot
WP_144958374.1	AF-A0A1Y1T0A5-F1-model_v6	0.503	405	199	0	1	402	1	405	2.87e-35	1491	uniprot
WP_157717368.1	AF-A0A1H1LVX3-F1-model_v6	1.0	339	0	0	1	339	7	345	5.8760000000000005e-30	1491	uniprot
WP_091892415.1	AF-A0A1H1MBN1-F1-model_v6	1.0	257	0	0	1	257	1	257	3.5890000000000005e-36	1488	uniprot
WP_119029647.1	AF-A0A397LCB9-F1-model_v6	0.975	243	6	0	1	243	1	243	3.3760000000000004e-32	1488	uniprot
WP_101449628.1	AF-A0A023BR44-F1-model_v6	0.971	214	6	0	1	214	1	214	4.504e-36	1487	uniprot
WP_101450483.1	AF-A0A554VPG6-F1-model_v6	0.893	309	33	0	1	309	1	309	5.847e-39	1484	uniprot
WP_144961059.1	AF-A0A559PM49-F1-model_v6	1.0	335	0	0	1	335	1	335	1.46e-33	1483	uniprot
WP_011710491.1	AF-A0M4P3-F1-model_v6	1.0	223	0	0	1	223	1	223	1.2339999999999999e-33	1483	uniprot
WP_101448063.1	AF-A0A2N3T748-F1-model_v6	0.923	344	26	0	1	344	1	344	3.992e-37	1481	uniprot
WP_119028765.1	AF-A0A2Z3H2X4-F1-model_v6	0.642	285	101	0	15	297	104	388	1.5300000000000002e-36	1481	uniprot
WP_091893917.1	AF-D2QBE6-F1-model_v6	0.6	300	119	0	1	300	1	299	1.074e-34	1476	uniprot
WP_144961131.1	AF-A0A1H3YU80-F1-model_v6	0.519	388	185	0	1	388	1	386	8.577e-33	1475	uniprot
WP_148304588.1	AF-A0A6M1TBD6-F1-model_v6	0.422	416	239	0	5	419	8	423	3.201e-30	1474	uniprot
WP_144724746.1	AF-A0A8J7IYK9-F1-model_v6	0.545	312	138	0	18	322	9	320	1.127e-33	1474	uniprot
WP_144726833.1	AF-A0A223V4J1-F1-model_v6	0.503	308	150	0	1	308	17	319	1.3319999999999999e-33	1473	uniprot
WP_157717390.1	AF-A0A550I443-F1-model_v6	0.694	275	83	0	1	273	1	275	1.506e-35	1472	uniprot
WP_011709207.1	AF-A0AAU7MWS1-F1-model_v6	0.741	279	72	0	1	279	11	289	3.12e-31	1471	uniprot
WP_144725384.1	AF-A0A8J2XIT3-F1-model_v6	0.655	377	129	0	2	377	22	398	3.434e-26	1470	uniprot
WP_091890924.1	AF-A0A2S7WYZ7-F1-model_v6	0.699	226	67	0	1	226	1	225	2.349e-30	1470	uniprot
WP_144727346.1	AF-A0AA51N710-F1-model_v6	0.582	285	119	0	15	299	64	348	3.361e-37	1469	uniprot
WP_197539158.1	AF-A0A1I1R0E9-F1-model_v6	0.776	268	60	0	13	280	401	668	2.417e-32	1468	uniprot
WP_144959803.1	AF-A0A559PK32-F1-model_v6	1.0	213	0	0	20	232	20	232	1.503e-34	1467	uniprot
WP_101445544.1	AF-A0A5S3PWE5-F1-model_v6	0.495	345	170	0	13	350	32	376	7.064e-36	1463	uniprot
WP_038526065.1	AF-A0A6M1N7E6-F1-model_v6	0.61	308	119	0	1	307	1	308	9.931000000000001e-28	1462	uniprot
WP_026755489.1	AF-A0A1A9LBG3-F1-model_v6	0.598	254	102	0	14	267	13	266	1.509e-28	1462	uniprot
WP_036824328.1	AF-A0A5C4SSE8-F1-model_v6	0.525	337	159	0	1	337	1	335	1.4329999999999999e-33	1460	uniprot
WP_101449210.1	AF-A0A2N3TAM0-F1-model_v6	1.0	235	0	0	1	235	1	235	3.85e-34	1460	uniprot
WP_026934898.1	AF-A0A1L3J1Y6-F1-model_v6	0.648	259	91	0	1	259	1	259	1.254e-35	1459	uniprot
WP_036825738.1	AF-A0A099Y0G3-F1-model_v6	1.0	238	0	0	1	238	1	238	6.473e-32	1457	uniprot
WP_038529538.1	AF-A0A520Z6M1-F1-model_v6	0.504	311	153	0	1	309	1	311	2.749e-33	1456	uniprot
WP_148304556.1	AF-T2KGZ9-F1-model_v6	1.0	294	0	0	1	294	1	294	1.537e-33	1455	uniprot
WP_119027541.1	AF-A0A397L628-F1-model_v6	1.0	311	0	0	1	311	1	311	1.493e-31	1454	uniprot
WP_036825576.1	AF-A0A099Y2H9-F1-model_v6	1.0	229	0	0	1	229	1	229	3.4260000000000002e-28	1454	uniprot
WP_101448386.1	AF-A0A1F3MD03-F1-model_v6	0.591	313	126	0	1	310	1	313	5.02e-27	1453	uniprot
WP_157691829.1	AF-A0A7Y6Y6F8-F1-model_v6	0.621	291	109	0	27	317	13	301	1.589e-35	1452	uniprot
WP_144726305.1	AF-A0A9D9G2G4-F1-model_v6	0.571	357	152	0	1	357	8	362	5.0170000000000005e-26	1451	uniprot
WP_144724959.1	AF-A0A2I7SDW4-F1-model_v6	0.591	267	108	0	1	267	1	266	2.238e-34	1451	uniprot
WP_144726685.1	AF-A0A917LM28-F1-model_v6	0.654	237	82	0	2	238	4	240	1.4900000000000002e-32	1451	uniprot
WP_143273568.1	AF-A0A2N3T2Z4-F1-model_v6	0.976	297	7	0	2	298	62	358	9.401e-33	1450	uniprot
WP_091893464.1	AF-A0A395JW10-F1-model_v6	0.618	264	99	0	1	264	1	261	7.071e-32	1450	uniprot
WP_038530848.1	AF-T2KMG3-F1-model_v6	1.0	253	0	0	2	254	15	267	4.524e-27	1450	uniprot
WP_101448217.1	AF-A0A2N3T7G5-F1-model_v6	1.0	232	0	0	1	232	1	232	1.625e-29	1449	uniprot
WP_156109139.1	AF-A0A099XUQ2-F1-model_v6	1.0	232	0	0	2	233	1	232	1.3730000000000001e-31	1448	uniprot
WP_011710510.1	AF-A0A550I3F4-F1-model_v6	0.721	369	100	0	18	376	13	381	1.471e-35	1447	uniprot
WP_144727386.1	AF-A0A2E0I075-F1-model_v6	0.54	274	125	0	4	276	2	275	9.73e-34	1447	uniprot
WP_144960800.1	AF-A0A559PLP2-F1-model_v6	0.979	340	7	0	1	340	1	340	3.051e-32	1445	uniprot
WP_026755278.1	AF-A0A519L601-F1-model_v6	0.62	393	148	0	1	393	1	390	6.503e-30	1444	uniprot
WP_052108402.1	AF-A0A099Y2Q1-F1-model_v6	1.0	248	0	0	1	248	1	248	1.619e-26	1443	uniprot
WP_091890666.1	AF-T2KKR4-F1-model_v6	0.667	307	102	0	1	306	1	307	3.143e-29	1440	uniprot
WP_101447783.1	AF-A0A2N3T637-F1-model_v6	1.0	228	0	0	1	228	1	228	3.969e-35	1440	uniprot
WP_101450287.1	AF-A0A2N3TE51-F1-model_v6	0.969	323	10	0	17	339	17	339	2.453e-28	1439	uniprot
WP_011710264.1	AF-A0M416-F1-model_v6	1.0	259	0	0	1	259	1	259	3.8399999999999995e-37	1438	uniprot
WP_011708843.1	AF-A0LZX7-F1-model_v6	1.0	224	0	0	1	224	1	224	1.6320000000000001e-28	1438	uniprot
WP_038531208.1	AF-T2KNC6-F1-model_v6	1.0	244	0	0	1	244	1	244	6.1260000000000005e-30	1436	uniprot
WP_119027961.1	AF-A0A1T5BFQ4-F1-model_v6	0.708	230	66	0	2	231	34	261	1.1710000000000001e-34	1435	uniprot
WP_036828152.1	AF-A0A099XMM8-F1-model_v6	1.0	284	0	0	1	284	1	284	4.739e-25	1433	uniprot
WP_038533684.1	AF-A0A9X1C874-F1-model_v6	0.79	248	52	0	1	248	1	247	5.085e-36	1433	uniprot
WP_089660912.1	AF-A0A1H1KU05-F1-model_v6	1.0	265	0	0	1	265	1	265	8.633e-31	1432	uniprot
WP_144963221.1	AF-A0A1H6ABR2-F1-model_v6	0.613	440	167	0	1	433	1	440	3.888e-29	1430	uniprot
WP_144726944.1	AF-A0A090WRI2-F1-model_v6	0.644	239	85	0	25	263	1	239	2.288e-31	1430	uniprot
WP_101445896.1	AF-A0A023BR95-F1-model_v6	0.767	345	80	0	1	345	1	345	1.7040000000000001e-34	1429	uniprot
WP_144959141.1	AF-A0A7K1LMT6-F1-model_v6	0.52	295	139	0	11	300	24	318	2.66e-28	1428	uniprot
WP_052108421.1	AF-A0A9X1I1U2-F1-model_v6	0.679	281	89	0	10	290	23	301	7.8570000000000005e-31	1427	uniprot
WP_089661196.1	AF-A0A1H1L414-F1-model_v6	1.0	274	0	0	1	274	1	274	1.941e-31	1427	uniprot
WP_144725330.1	AF-A0A3A1NHD4-F1-model_v6	0.552	228	102	0	14	241	22	249	3.1210000000000003e-35	1427	uniprot
WP_144726442.1	AF-A0A397LGT5-F1-model_v6	0.976	212	5	0	1	212	1	212	8.602e-34	1425	uniprot
WP_036827707.1	AF-A0A099XQ36-F1-model_v6	1.0	267	0	0	1	267	1	267	8.495999999999999e-37	1423	uniprot
WP_051774893.1	AF-A0A7C5JE61-F1-model_v6	0.62	306	116	0	1	305	1	306	2.301e-34	1422	uniprot
WP_089660950.1	AF-A0A1H1KUP4-F1-model_v6	1.0	291	0	0	1	291	1	291	8.588e-30	1421	uniprot
WP_148304611.1	AF-T2KP37-F1-model_v6	0.974	275	7	0	23	297	1	275	1.638e-30	1421	uniprot
WP_091896741.1	AF-A0A9X1VNP7-F1-model_v6	0.722	274	71	0	10	283	10	265	2.6900000000000003e-30	1421	uniprot
WP_157717409.1	AF-A0A7M3SWR9-F1-model_v6	0.642	263	94	0	1	263	1	263	3.108e-30	1421	uniprot
